  34.651  -86.543   186.0 em64rp kd4qio AL
starthere
  39.917  116.383     0.0 om89ew Beijing China
stophere
  -3.850  -32.417     0.0 hi36sd PP0-PY0 Fernando de Noronha,V.d.Remedios
  37.755 -100.019     0.0 dm97xs Dodge City KS
  38.082  -97.928     0.0 em18ab Hutchinson KS
  39.118  -94.640     0.0 em29qc Kansas City KS
  38.963  -95.238     0.0 em28jx Lawrence KS
  39.312  -94.913     0.0 em29nh Leavenworth KS
  39.183  -96.575     0.0 em19re Manhattan KS
  38.885  -94.822     0.0 em28ov Olathe KS
  38.970  -94.667     0.0 em28px Overland Park KS
  38.835  -97.608     0.0 em18eu Salina KS
  39.013  -94.715     0.0 em29pa Shawnee KS
  39.054  -95.673     0.0 em29db Topeka KS
  37.692  -97.338     0.0 em17hq Wichita KS
  38.477  -82.640     0.0 em88ql Ashland KY
  36.988  -86.451     0.0 em66sx Bowling Green KY
  39.087  -84.512     0.0 em79rc Covington KY
  38.200  -84.862     0.0 em78ne Frankfort KY
  37.837  -87.587     0.0 em67eu Henderson KY
  36.862  -87.472     0.0 em66gu Hopkinsville KY
  38.047  -84.496     0.0 em78sb Lexington KY
  38.246  -85.764     0.0 em78cf Louisville KY
  39.088  -84.495     0.0 em79sc Newport KY
  37.768  -87.113     0.0 em67ks Owensboro KY
  37.087  -88.599     0.0 em57qc Paducah KY
  31.302  -92.453     0.0 em31sh Alexandria LA
  30.449  -91.183     0.0 em40jk Baton Rouge LA
  32.517  -93.732     0.0 em32dm Bossier City LA
  29.983  -90.242     0.0 el49vx Kenner LA
  30.225  -92.020     0.0 em30xf Lafayette LA
  30.228  -93.217     0.0 em30jf Lake Charles LA
  32.500  -92.117     0.0 em32wm Monroe LA
  29.698  -91.207     0.0 el49jq Morgan City LA
  30.012  -91.823     0.0 em40ca New Iberia LA
  29.948  -90.069     0.0 el49xw New Orleans LA
  32.525  -92.638     0.0 em32qm Ruston LA
  32.513  -93.749     0.0 em32dm Shreveport LA
  30.275  -89.802     0.0 em50cg Slidell LA
  29.795  -90.807     0.0 el49ot Thibodaux LA
  44.097  -70.228     0.0 fn44vc Auburn ME
  44.315  -69.775     0.0 fn54ch Augusta ME
  44.804  -68.772     0.0 fn54ot Bangor ME
  43.492  -70.463     0.0 fn43sl Biddeford ME
  43.907  -69.963     0.0 fn53av Brunswick ME
  43.667  -70.467     0.0 fn43sq Gorham ME
  44.097  -70.218     0.0 fn44vc Lewiston ME
  43.659  -70.255     0.0 fn43up Portland ME
  43.500  -70.443     0.0 fn43sm Saco ME
  43.442  -70.777     0.0 fn43ok Sanford ME
  43.635  -70.250     0.0 fn43vp South Portland ME
  43.677  -70.363     0.0 fn43tq Westbrook ME
  39.512  -76.162     0.0 fm19wm Aberdeen MD
  38.973  -76.495     0.0 fm18sx Annapolis MD
  39.291  -76.613     0.0 fm19qg Baltimore MD
  39.007  -76.782     0.0 fm19oa Bowie MD
  38.570  -76.078     0.0 fm18xn Cambridge MD
  38.987  -76.935     0.0 fm18mx College Park MD
  39.650  -78.763     0.0 fm09op Cumberland MD
  39.415  -77.417     0.0 fm19gj Frederick MD
  39.140  -77.198     0.0 fm19jd Gaithersburg MD
  39.645  -77.720     0.0 fm19dp Hagerstown MD
  39.083  -77.143     0.0 fm19kb Rockville MD
  42.415  -71.152     0.0 fn42kj Arlington MA
  42.357  -71.057     0.0 fn42li Boston MA
  42.084  -71.024     0.0 fn42lc Brockton MA
  42.332  -71.122     0.0 fn42kh Brookline MA
  42.367  -71.106     0.0 fn42ki Cambridge MA
  42.140  -72.612     0.0 fn32qd Chicopee MA
  41.702  -71.155     0.0 fn41kq Fall River MA
  42.273  -71.415     0.0 fn42hg Framingham MA
  42.208  -72.610     0.0 fn32qe Holyoke MA
  42.704  -71.169     0.0 fn42jq Lawrence MA
  42.640  -71.321     0.0 fn42ip Lowell MA
  42.463  -70.948     0.0 fn42ml Lynn MA
  42.423  -71.067     0.0 fn42lk Malden MA
  42.418  -71.107     0.0 fn42kk Medford MA
  41.637  -70.928     0.0 fn41mp New Bedford MA
  42.348  -71.190     0.0 fn42ji Newton MA
  42.448  -73.254     0.0 fn32ik Pittsfield MA
  42.252  -71.002     0.0 fn42lg Quincy MA
  42.388  -71.102     0.0 fn42kj Somerville MA
